,날짜,시가,고가,저가,종가,거래량,외국인소진율
136,20200227,56300,56900,55500,55900,23209541,56.72
137,20200228,55000,55500,54200,54200,30054227,56.62
138,20200302,54300,55500,53600,55000,30403412,56.51
139,20200303,56700,56900,55100,55400,30330295,56.47
140,20200304,54800,57600,54600,57400,24765728,56.51
141,20200305,57600,58000,56700,57800,21698990,56.47
142,20200306,56500,57200,56200,56500,18716656,56.42
143,20200309,54700,55000,53600,54200,30261485,56.25
144,20200310,53800,54900,53700,54600,32106554,56.14
145,20200311,54300,54400,52000,52100,45707281,55.97
146,20200312,51000,51900,49300,50800,48149999,55.82
147,20200313,47450,51600,46850,49950,59462933,55.64
148,20200316,50100,50900,48800,48900,33339821,55.66
149,20200317,46900,49650,46700,47300,51218151,55.47
150,20200318,47750,48350,45600,45600,40152623,55.47
151,20200319,46400,46650,42300,42950,56925513,55.41
152,20200320,44150,45500,43550,45400,49730008,55.37
153,20200323,42600,43550,42400,42500,41701626,55.24
154,20200324,43850,46950,43050,46950,49801908,55.3
155,20200325,48950,49600,47150,48650,52735922,55.19
156,20200326,49000,49300,47700,47800,42185129,55.15
157,20200327,49600,49700,46850,48300,39896178,54.93
158,20200330,47050,48350,46550,47850,26797395,54.9
159,20200331,48000,48500,47150,47750,30654261,54.92
160,20200401,47450,47900,45800,45800,27259532,54.99
161,20200402,46200,46850,45350,46800,21621076,54.99
162,20200403,47400,47600,46550,47000,22784682,55.01
163,20200406,47500,48800,47250,48700,23395726,55.01
164,20200407,49650,50200,49000,49600,31524034,55.03
165,20200408,49600,49750,48600,48600,25010314,55.08
166,20200409,49750,49800,48700,49100,22628058,55.08
167,20200410,48950,49250,48650,49250,17839111,55.09
168,20200413,48650,48900,48300,48300,14431800,55.07
169,20200414,48800,49200,48300,49000,14206216,55.05
170,20200416,49350,49350,48550,49000,23349760,55.09
171,20200417,50800,52000,50300,51400,32041675,55.2
172,20200420,51400,51400,50000,50100,21866354,55.23
173,20200421,49400,49700,48700,49250,27407543,55.2
174,20200422,48700,50000,48350,49850,18613864,55.23
175,20200423,50200,50300,49500,49850,18754442,55.22
176,20200424,49650,49750,49000,49350,15618347,55.19
177,20200427,49350,50000,49100,49850,14049471,55.23
178,20200428,49850,50100,49300,50100,16095399,55.23
179,20200429,49900,50500,49600,50000,15604533,55.25
180,20200504,48900,49100,48500,48500,26083749,55.11
181,20200506,49000,49200,48500,49200,18070225,55.08
182,20200507,49200,49300,48700,48800,13884411,55.07
183,20200508,49100,49350,48800,48800,15319700,55.04
184,20200511,48900,49250,48300,48400,16357743,55.02
185,20200512,48400,48500,47550,47900,23433590,55.03
186,20200513,47250,48550,47200,48550,20223277,55.03
187,20200514,47750,48100,47650,48000,19305974,55.01
188,20200515,48400,48450,47700,47850,18463118,54.98
189,20200518,47950,49100,47600,48800,20481981,54.97
190,20200519,50100,50500,49700,50300,25168295,55.0
191,20200520,50000,50200,49800,50000,14896899,55.01
192,20200521,50300,50400,49850,49950,14949266,55.05
193,20200522,49600,49800,48600,48750,19706284,54.99
194,20200525,48750,48900,48450,48850,14337913,54.95
195,20200526,48700,49450,48600,49250,15127490,54.91
196,20200527,48950,50000,48800,49900,19548479,54.96
197,20200528,51100,51200,49900,50400,31309318,55.0
198,20200529,50000,50700,49700,50700,27596961,55.07
199,20200601,50800,51200,50600,51200,16949183,55.08
200,20200602,51000,51500,50800,51400,14247933,55.07
201,20200603,51800,55000,51700,54500,49257814,55.13
202,20200604,55800,57000,54600,54600,40220334,55.13
203,20200605,54400,55900,54000,55500,22743629,55.13
204,20200608,56400,56500,54700,54900,25634965,55.1
205,20200609,55800,56500,54400,55500,23998831,55.11
206,20200610,55100,55900,54900,55400,16742493,55.09
207,20200611,54500,55100,53200,54300,33815123,55.06
208,20200612,52100,52800,51500,52300,26976019,55.06
209,20200615,51400,52000,49900,49900,28772921,55.04
210,20200616,51200,52100,50600,52100,21808375,55.03
211,20200617,52100,52900,51300,52200,26672595,55.05
212,20200618,52200,52300,51600,52300,15982926,55.06
213,20200619,52600,52900,51600,52900,18157985,55.09
214,20200622,52000,52600,51800,52000,13801350,55.07
215,20200623,52500,52800,51100,51400,18086152,55.06
216,20200624,51900,53900,51600,52900,24519552,55.04
217,20200625,52100,53000,51900,51900,18541624,54.96
218,20200626,52800,53900,52200,53300,21575360,54.99
219,20200629,52500,53200,52000,52400,17776925,54.97
220,20200630,53900,53900,52800,52800,21157172,55.0
221,20200701,53400,53600,52400,52600,16706143,55.08
222,20200702,52100,52900,52100,52900,14142583,55.09
223,20200703,53000,53600,52700,53600,11887868,55.11
224,20200706,54000,55000,53800,55000,19856623,55.14
225,20200707,55800,55900,53400,53400,30760032,55.13
226,20200708,53600,53900,52900,53000,19664652,55.14
227,20200709,53200,53600,52800,52800,17054850,55.17
228,20200710,53100,53200,52300,52700,13714746,55.21
229,20200713,53300,53800,53100,53400,12240188,55.23
230,20200714,53700,53800,53200,53800,14269484,55.27
231,20200715,54400,55000,54300,54700,24051450,55.36
232,20200716,54800,54800,53800,53800,16779127,55.34
233,20200717,54200,54700,54100,54400,10096174,55.37
234,20200720,54800,54800,54000,54200,10507530,55.39
235,20200721,55200,55400,54800,55300,18297260,55.48
236,20200722,55300,55500,54700,54700,12885057,55.48
237,20200723,54700,54700,53800,54100,16214932,55.46
238,20200724,54000,54400,53700,54200,10994535,55.5
239,20200727,54300,55700,54300,55600,21054421,55.62
240,20200728,57000,58800,56400,58600,48431566,55.9
241,20200729,60300,60400,58600,59000,36476611,55.98
242,20200730,59700,60100,59000,59000,19285354,56.01
243,20200731,59500,59600,57700,57900,21943345,55.99
244,20200803,57800,57900,56700,56800,21158940,55.94
245,20200804,57200,58100,57000,57300,19419694,55.92
246,20200805,57300,57500,56300,56900,17739706,55.9
247,20200806,57100,58400,57100,58000,21625874,55.91
248,20200807,57900,58400,57100,57500,18751717,55.94
249,20200810,57600,58300,57500,57800,17774291,55.94
250,20200811,58000,59500,57800,58200,24907912,55.95
251,20200812,58200,59000,57700,59000,18573934,55.95
252,20200813,59400,59600,58000,58700,22089460,55.93
253,20200814,58000,58400,57700,58000,15672548,55.9
254,20200818,58900,59900,58000,58400,25307825,55.96
255,20200819,59000,59200,57800,57800,16930719,55.95
256,20200820,57600,57600,55300,55400,30386029,55.94
257,20200821,56200,56900,55800,55900,21142288,55.97
258,20200824,55800,56600,55400,56100,15055896,55.98
259,20200825,56400,56800,56100,56400,14021705,55.98
260,20200826,56400,56500,55700,56400,17651593,56.02
261,20200827,56300,56300,55600,55600,16196568,56.02
262,20200828,56100,56300,55400,55400,14619888,55.97
263,20200831,56000,56100,54000,54000,32671367,55.79
264,20200901,54100,54800,54100,54200,19363117,55.77
265,20200902,54600,55100,54100,54400,16905723,55.76
266,20200903,55600,56700,55500,56400,28384920,55.82
267,20200904,55200,55800,55100,55600,22139109,55.79
268,20200907,56100,57300,55800,56500,18685880,55.79
269,20200908,57400,58700,57200,58700,31517520,55.86
270,20200909,58200,59300,57800,58400,30597399,55.9
271,20200910,59900,60000,59100,59200,29923293,56.0
272,20200911,59300,59400,58200,59000,16017098,55.99
273,20200914,60200,60800,59900,60400,20648281,56.01
274,20200915,60900,61000,60500,61000,17877075,56.01
275,20200916,61100,61300,60600,61000,17041444,56.06
276,20200917,60700,60800,59300,59500,25108356,56.03
277,20200918,59800,59900,59100,59300,18884571,56.0
278,20200921,59100,60000,59000,59200,15140387,55.98
279,20200922,59100,59700,57800,58200,20830381,55.98
280,20200923,58400,58800,57400,58600,20111398,56.0
281,20200924,57700,58600,57600,57800,17564020,55.98
282,20200925,57700,58200,57700,57900,11444683,55.92
283,20200928,58300,58800,57900,58200,12614080,55.89
284,20200929,58300,59000,58200,58200,15503563,55.86
285,20201005,57500,59200,57500,58700,20228289,55.86
286,20201006,59400,59900,58700,59000,14463826,55.9
287,20201007,58700,59900,58500,59900,14861838,55.95
288,20201008,60500,60700,59500,59700,24589924,56.02
289,20201012,60000,60400,59900,60400,16145837,56.08
290,20201013,61000,61400,60400,60900,19247631,56.11
291,20201014,61000,61100,60500,60900,16086716,56.13
292,20201015,60700,60800,59700,60000,17756232,56.09
293,20201016,60000,60400,59000,59500,16554190,56.09
294,20201019,59600,60200,59500,60000,14474985,56.1
295,20201020,60300,60900,60100,60900,19326115,56.18
296,20201021,61200,61500,60600,60900,15703443,56.21
297,20201022,60300,60500,59800,60100,14294095,56.16
298,20201023,60400,60400,59800,60200,9322232,56.16
299,20201026,60400,61100,60100,60400,13268226,56.17
300,20201027,60300,60300,59500,59800,17260416,56.17
301,20201028,59400,59400,58800,59000,14428882,56.15
302,20201029,58200,58500,57500,58100,22636966,56.14
303,20201030,58000,58000,56600,56600,26907844,56.0
304,20201102,56400,57500,56000,57400,20489076,55.97
305,20201103,57900,58900,57600,58800,14950919,55.97
306,20201104,58900,59000,57800,58500,21718561,55.88
307,20201105,59000,60300,58800,60300,20639475,55.99
308,20201106,60700,60800,59600,60100,16910230,56.04
309,20201109,60700,60900,60100,60200,15892961,56.07
310,20201110,60500,60500,59500,60200,19073552,56.1
311,20201111,60700,61400,60400,61300,25628510,56.23
312,20201112,61000,61400,60700,61000,19800573,56.29
313,20201113,61300,63200,61000,63200,31508829,56.45
314,20201116,64000,66700,63900,66300,36354334,56.53
315,20201117,67000,67000,65600,65700,30204089,56.56
316,20201118,65700,66200,64700,64800,22963790,56.54
317,20201119,64100,64800,63900,64600,16590290,56.53
318,20201120,63900,65200,63900,64700,15068682,56.52
319,20201123,64800,67800,64700,67500,27134398,56.6
320,20201124,67900,69500,67000,67700,32158235,56.63
321,20201125,67900,68300,66500,66600,32447065,56.56
322,20201126,66100,68000,66000,68000,19023323,56.58
323,20201127,68000,68400,67600,68200,14063434,56.54
324,20201130,68400,68600,66700,66700,43811016,56.33
325,20201201,67100,68300,67100,67800,22327173,56.31
326,20201202,68400,69900,68300,69500,29703942,56.36
327,20201203,70100,70500,69300,69700,23677989,56.37
328,20201204,70400,72100,70100,71500,28130533,56.41
329,20201207,72400,73500,71900,72900,28490496,56.41
330,20201208,72200,72900,71600,71700,25000338,56.35
331,20201209,72100,73900,72000,73900,24077996,56.34
332,20201210,72700,73800,72500,72900,39882928,56.19
333,20201211,73500,73800,73100,73400,18486672,56.14
334,20201214,73600,74500,73200,73800,21510415,56.13
335,20201215,73800,74100,73300,73800,20863671,56.09
336,20201216,74100,74500,73400,73800,17512081,56.03
337,20201217,73400,73700,72600,73300,24293214,55.98
338,20201218,73300,73700,73000,73000,17613029,55.95
339,20201221,73100,73400,72000,73000,20367355,55.92
340,20201222,72500,73200,72100,72300,16304910,55.91
341,20201223,72400,74000,72300,73900,19411326,55.92
342,20201224,74100,78800,74000,77800,32502870,55.88
343,20201228,79000,80100,78200,78700,40085044,55.82
344,20201229,78800,78900,77300,78300,30339449,55.73
345,20201230,77400,81300,77300,81000,29417421,55.72
346,20210104,81000,84400,80200,83000,38655276,55.73
347,20210105,81600,83900,81600,83900,35335669,55.68
348,20210106,83300,84500,82100,82200,42089013,55.58
349,20210107,82800,84200,82700,82900,32644642,55.53
350,20210108,83300,90000,83000,88800,59013307,55.68
351,20210111,90000,96800,89500,91000,90306177,55.59
352,20210112,90300,91400,87800,90600,48682416,55.56
353,20210113,89800,91200,89100,89700,36068848,55.52
354,20210114,88700,90000,88700,89700,26393970,55.57
355,20210115,89800,91800,88000,88000,33431809,55.53
356,20210118,86600,87300,84100,85000,43227951,55.51
357,20210119,84500,88000,83600,87000,39895044,55.54
358,20210120,89000,89000,86500,87200,25211127,55.52
359,20210121,87500,88600,86500,88100,25318011,55.49
360,20210122,89000,89700,86800,86800,30861661,55.43
361,20210125,87000,89900,86300,89400,27258534,55.46
362,20210126,88800,89200,86500,86700,33178936,55.33
363,20210127,86600,87700,85600,85600,26423070,55.26
364,20210128,83200,85600,83200,83700,31859808,55.15
365,20210129,84500,85000,82000,82000,39615978,55.06
366,20210201,81700,83400,81000,83000,28046832,55.02
367,20210202,84100,86400,83700,84400,26302077,55.02
368,20210203,84800,85400,83400,84600,22112205,54.99
369,20210204,83500,83800,82100,82500,24171688,54.94
370,20210205,83100,84000,82500,83500,18036835,54.93
371,20210208,83800,84200,83000,83000,15338765,54.91
372,20210209,84000,84800,82700,82700,20898332,54.87
373,20210210,82600,82600,81600,81600,23025766,54.82
374,20210215,83800,84500,83300,84200,23529706,54.88
375,20210216,84500,86000,84200,84900,20483100,54.91
376,20210217,83900,84200,83000,83200,18307735,54.88
377,20210218,83200,83600,82100,82100,21327683,54.84
378,20210219,82300,82800,81000,82600,25880879,54.77
379,20210222,83800,84200,82200,82200,25419886,54.79
380,20210223,81200,82900,81100,82000,20587314,54.76
381,20210224,81800,83600,81300,82000,26807651,54.78
382,20210225,84000,85400,83000,85300,34155986,54.92
383,20210226,82800,83400,82000,82500,38520800,54.74
384,20210302,85100,85300,83000,83600,33498180,54.81
385,20210303,83500,84000,82800,84000,19882132,54.77
386,20210304,82600,83200,82200,82400,24348331,54.72
387,20210305,81100,82600,81100,82100,20508971,54.7
388,20210308,82900,83000,81600,82000,17641256,54.68
389,20210309,81400,81900,80600,81400,25420764,54.6
390,20210310,82400,82500,80700,80900,20038422,54.57
391,20210311,81000,82500,81000,82000,23818297,54.67
392,20210312,83100,83500,82400,82800,13530573,54.71
393,20210315,82800,82900,81800,81800,13735798,54.66
394,20210316,82200,83000,82100,82800,12293537,54.68
395,20210317,82800,82900,82000,82300,11625146,54.7
396,20210318,82800,83800,82600,82900,18585244,54.76
397,20210319,82100,82500,81800,81900,15869700,54.74
398,20210322,82000,82300,81700,82000,12670506,54.73
399,20210323,82600,82900,81800,81800,13299907,54.71
400,20210324,81000,81600,80700,81000,17926638,54.68
401,20210325,81000,82100,80800,81200,14758826,54.69
402,20210326,81400,81600,81000,81500,12845778,54.58
403,20210329,81700,81700,81000,81600,14952134,54.56
404,20210330,81600,82300,81300,82200,13121698,54.57
405,20210331,82400,82700,81400,81400,17240518,54.54
406,20210401,82500,83000,82000,82900,18676461,54.6
407,20210402,84000,85200,83900,84800,22997538,54.73
408,20210405,85800,86000,84800,85400,16255990,54.73
409,20210406,86200,86200,85100,86000,19042023,54.8
410,20210407,86100,86200,85400,85600,17885538,54.82
411,20210408,85700,85700,84100,84700,19244259,54.83
412,20210409,84700,84900,83400,83600,18193707,54.79
413,20210412,84100,84100,83100,83200,12915282,54.78
414,20210413,83000,84500,82800,84000,15238206,54.8
415,20210414,84000,84300,83400,84000,13794652,54.79
416,20210415,83700,84500,83400,84100,16377412,54.81
417,20210416,84700,84700,83600,83900,15429522,54.81
418,20210419,83800,84000,83300,83300,15287311,54.76
419,20210420,83300,84000,83100,83900,15521965,54.78
420,20210421,83300,83500,82500,82600,21636079,54.72
421,20210422,82900,83000,82400,82400,13934746,54.68
422,20210423,81900,82900,81600,82800,17805080,54.67
423,20210426,82900,83500,82600,83500,15489938,54.7
424,20210427,83200,83300,82500,82900,12941533,54.7
425,20210428,83200,83200,82100,82100,15596759,54.69
426,20210429,82400,82500,81500,81700,20000973,54.61
427,20210430,81900,82100,81500,81500,18673197,54.59
428,20210503,81000,82400,81000,81700,15710336,54.55
429,20210504,81900,82600,81800,82600,12532550,54.55
430,20210506,81700,82300,81700,82300,17047511,54.49
431,20210507,81800,82100,81500,81900,14154882,54.46
432,20210510,82300,83500,81800,83200,19385027,54.47
433,20210511,82500,82600,81100,81200,28996680,54.31
434,20210512,80800,81200,79800,80000,35812268,54.07
435,20210513,78900,79600,78400,78500,31490096,53.89
436,20210514,79000,80300,78900,80100,16450920,53.9
437,20210517,80800,80900,79200,79600,17740855,53.84
438,20210518,79600,80000,79100,79600,17494407,53.75
439,20210520,79400,79700,79100,79500,16541828,53.72
440,20210521,80100,81500,79800,80100,20961714,53.74
441,20210524,80100,80400,79500,79700,13398666,53.71
442,20210525,80000,80400,79800,79900,13628942,53.68
443,20210526,80400,80500,79700,79800,11984359,53.68
444,20210527,80000,80000,79100,79600,23198510,53.64
445,20210528,79800,80400,79400,80100,12360199,53.64
446,20210531,80300,80600,79600,80500,13321324,53.69
447,20210601,80500,81300,80100,80600,14058401,53.69
448,20210602,80400,81400,80300,80800,16414644,53.73
449,20210603,81300,83000,81100,82800,29546007,53.82
450,20210604,82700,82700,81500,82200,18112259,53.84
451,20210607,82700,82800,81600,81900,16496197,53.82
452,20210608,82300,82600,81800,81900,12781226,53.8
453,20210609,81500,82000,81100,81100,14908823,53.82
454,20210610,81300,81400,80900,81000,17586995,53.86
455,20210611,81200,81700,80700,81000,14087962,53.81
456,20210614,80800,80900,80500,80500,10550078,53.79
457,20210615,80900,81200,80600,80900,10075685,53.79
458,20210616,81500,81900,81100,81800,14999855,53.84
459,20210617,81100,81300,80700,80900,14007385,53.82
460,20210618,81100,81100,80500,80500,14916721,53.73
461,20210621,79700,80000,79600,79900,16063340,53.66
462,20210622,80200,80300,79900,80000,11773365,53.62
463,20210623,80500,80600,79900,80100,13856548,53.6
464,20210624,80400,81400,80100,81200,18771080,53.61
465,20210625,81500,81900,81200,81600,13481405,53.57
466,20210628,81700,82000,81600,81900,11578529,53.53
467,20210629,81900,82100,80800,81000,15744317,53.55
468,20210630,81100,81400,80700,80700,13288643,53.57
469,20210701,80500,80600,80000,80100,13382882,53.54
470,20210702,80000,80400,79900,80000,8753097,53.5
471,20210705,80100,80800,80000,80400,8330969,53.54
472,20210706,80600,81200,80500,81200,12131651,53.59
473,20210707,81200,81300,80300,80800,15992202,53.59
474,20210708,81100,81200,79900,79900,16660998,53.57
475,20210709,79600,79800,79000,79400,22720577,53.47
476,20210712,79900,80000,79500,79700,9768108,53.46
477,20210713,80000,80200,79800,79800,9863450,53.46
478,20210714,79400,79600,79100,79500,11575636,53.45
479,20210715,79800,80600,79500,80600,13766279,53.49
480,20210716,80100,80100,79500,79800,10859399,53.49
481,20210719,79100,79200,78800,79000,13155414,53.43
482,20210720,78500,79000,78400,79000,12456646,53.4
483,20210721,79000,79100,78500,78500,12355296,53.35
484,20210722,79000,79800,78900,79700,12618790,53.35
485,20210723,79700,79900,79200,79300,9098910,53.33
486,20210726,79400,79500,78800,78800,10040975,53.3
487,20210727,79200,79400,78500,78500,11427693,53.27
488,20210728,78300,79200,78100,79200,12743417,53.22
489,20210729,78800,79400,78800,79000,14360453,53.19
490,20210730,78900,78900,78500,78500,13823411,53.17
491,20210802,79200,79500,78700,79300,11739124,53.15
492,20210803,79400,81400,79300,81400,24339360,53.27
493,20210804,82200,83100,81800,82900,25642368,53.38
494,20210805,83300,83300,82000,82100,18485469,53.35
495,20210806,81900,82500,81300,81500,13342623,53.35
496,20210809,81500,82300,80900,81500,15522581,53.34
497,20210810,82300,82400,80100,80200,20362639,53.25
498,20210811,79600,79800,78500,78500,30241137,53.02
499,20210812,77100,78200,76900,77000,42365223,52.65
500,20210813,75800,76000,74100,74400,61270643,52.12
501,20210817,74000,75100,74000,74200,30944847,52.02
502,20210818,73900,74600,73100,73900,29192631,51.86
503,20210819,73500,74400,73100,73100,22166298,51.82
504,20210820,73500,73900,72500,72700,22364803,51.76
505,20210823,73300,74000,73000,73300,19384648,51.7
506,20210824,73900,75700,73900,75600,21016913,51.7
507,20210825,76200,76600,74900,75700,22319664,51.71
508,20210826,76100,76200,74600,74600,16671494,51.68
509,20210827,74300,75000,73800,74300,15172748,51.64
510,20210830,75400,75500,74200,74600,12686999,51.61
511,20210831,74900,76700,74300,76700,24630370,51.7
512,20210901,76700,77100,75900,76800,16114775,51.76
513,20210902,76800,76800,75700,76000,15347486,51.76
514,20210903,76400,76700,76000,76600,12096419,51.8
515,20210906,76800,77600,76600,77300,12861180,51.83
516,20210907,77100,77100,75900,76100,13239401,51.79
517,20210908,76000,76400,75600,76300,11798147,51.8
518,20210909,76400,76600,75000,75300,17600770,51.81
519,20210910,75300,75600,74800,75300,10103212,51.77
520,20210913,75200,76300,75100,76300,11397775,51.8
521,20210914,77100,77700,76600,76600,18167057,51.85
522,20210915,77400,77400,76400,77000,12829128,51.88
523,20210916,77300,77400,76100,76100,13067622,51.88
524,20210917,76300,77200,75900,77200,16289502,51.93
525,20210923,77500,77600,76800,77400,17055590,51.98
526,20210924,77600,77700,77100,77300,12247274,51.98
527,20210927,77300,77700,77000,77700,11699798,52.0
528,20210928,77700,77800,76200,76300,15406382,51.99
529,20210929,74800,75300,73800,74100,23992458,51.86
530,20210930,74300,74800,73700,74100,19919361,51.86
531,20211001,73900,74000,72900,73200,15803395,51.84
532,20211005,73000,73000,71400,72200,24013921,51.81
533,20211006,72600,72800,71200,71300,18956962,51.8
534,20211007,71600,72100,71300,71600,13683532,51.76
535,20211008,72300,72400,71500,71500,14043287,51.76
